detail_page_url,event_count,status,description_found,image_found,reason
https://www.ticketweb.com/event/arturo-sandoval-blue-note-jazz-club-tickets/14640053,6,miss,false,false,no usable og/meta tags
https://www.triplecbrewing.com/live-music-events/2026/1/5/dance-with-me-at-triple-c-bg75d-fhlsb-ek79y-bbyxc-pbmzc-kegdf-bplp9-aw9t5-5ylya-8zzjc-st969-ma83l-gzkn2-hdjmn-heeck-dka5s-tdeja-42d4t-mba5b-r2n6t-9tl37-ejg78,6,hit,true,true,
https://www.ticketweb.com/event/day-out-with-thomas-tm-colorado-railroad-museum-tickets/14984283,6,miss,false,false,no usable og/meta tags
https://travel.ticketmaster.com/en-US/package-forward/92442532?_uid=2d1a81bc-09c6-45ae-ba80-43c6cfcac5ca&utm_source=Caesars_TM&utm_medium=TM_ADP_Jeezy0724,6,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/dolly-live-in-las-vegas-las-vegas-nevada-09-17-2026/event/390062D3C3C10FA5,6,miss,false,false,fetch failed
https://www.ticketmaster.com/rod-stewart-the-encore-shows-las-las-vegas-nevada-08-18-2026/event/3900646BA3F1245B,6,miss,false,false,fetch failed
https://travel.ticketmaster.com/en-US/package-forward/9490639?_uid=2d1a81bc-09c6-45ae-ba80-43c6cfcac5ca&utm_source=Caesars_TM&utm_medium=TM_ADP_KellyClarkson0724,6,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/jeezy-the-legend-of-the-snowman-las-vegas-nevada-07-24-2026/event/39006497FB34E7B2,6,miss,false,false,fetch failed
https://www.ticketmaster.com/the-swinging-bronx-wanderers-las-vegas-nevada-07-24-2026/event/1700649ECF5B7D1B,6,miss,false,false,fetch failed
https://www.ticketmaster.com/human-nature-back-to-the-sound-las-vegas-nevada-07-31-2026/event/1700649EDA90B272,6,miss,false,false,fetch failed
https://www.gofevo.com/event/MetallicaatSphere100126,6,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/metallica-life-burns-faster-las-vegas-nevada-10-01-2026/event/17006455FF4FD561,6,miss,false,false,fetch failed
https://www.gofevo.com/event/CarinLeon1,6,miss,false,false,no usable og/meta tags
https://uncommonground.com/events-page/bteb5sdmm6298x2-f5747-sgexh-jwexj-8yx53-c5t74-lb6g8-z3lsl-lhztm-69g6x-7xjz6-zf5sh-b5sl8-sw5fr-w4yxe-6rx8y-zbz98-5a44n-tgrns-xfk3g-xs5nr-hwrr4-fny6s-tsj8j-klafn,6,hit,true,false,
https://kungfunecktie.com/event/taking-back-indie-the-emo-indie-nite-38/kung-fu-necktie-kfn/philadelphia-pennsylvania/,6,hit,true,false,
https://colesbarchicago.com/shows/missspoken-july-27-2026-691239,6,hit,true,true,
https://www.jazzshowcase.com/nowplaying/wdcb-4r8d3-956tk-pmc5x-zayen-ezstl-ljmj7-z3fyb-f2fpr-k9zbp-swfan-f4zs2-m2n62-jzerc-j6847-cxxlb-8zm59-7rhal-bwcpb-6d968-6bfdn-s4z5a-834ek-yh5c2-9rb44-8rgh9-r38xj-3jydh-l4p6g-43ea6-mche-6tdn4,6,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/dj-bmf-lil-indies-tickets/14217094,6,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/bruno-mars-the-romantic-tour-inglewood-california-09-30-2026/event/0A006451D6B8C1D4,5,miss,false,false,fetch failed
https://www.ticketmaster.com/rufus-du-sol-north-america-2026-inglewood-california-08-06-2026/event/0900644BFCB72440,5,miss,false,false,fetch failed
https://tickets.citywinery.com/event/boston-vinofile-plus-pick-up-party-exf2c4,5,hit,true,true,
https://artsatthearmory.org/events/smut-slam-3-2026-08-04/,5,hit,true,false,
https://www.lowlandsbar.com/events/bdhf5x8llgntsd5ye4hx4mmzetcls2-jeblx-a552l-lbrg9,5,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/event/Z7r9jZ1A7xo8N,5,miss,false,false,fetch failed
https://www.ticketmaster.com/event/Z7r9jZ1A7-VuN,5,miss,false,false,fetch failed
https://www.mjqofficial.com/events/gshb438weftdcnf-5snrc-xjdak-chaas-xc433-9r94f-nmbw7-ra9d2-stftl,5,hit,true,true,
https://www.mjqofficial.com/events/28hc746sf5a9zg6-dpy2b-4ylsj-j8x37-256f4-kmad2-9kfh6-6trtt-fkdp9-663ys-39cwe-b5cjk-6p5tm-9h7p6-s8n7b-6hwp8-sh4lz-k8fjr-jznpn-ctwh4-cx9xj-hfxd7-jzr73-nbwmb-be5zp-y4khl-a73tg-dpsw3,5,hit,true,false,
https://www.cmwbrewery.com/events-calendar/breakfast-club-1-79szl-4564t-ggybc-rda24,5,hit,true,true,
https://neofuturists.org/events/theinfinitewrench/,5,hit,true,true,
https://www.tixr.com/groups/improvasylum/events/the-main-stage-show-free-summer-wednesdays--191108,5,miss,false,false,fetch failed
https://www.ticketmaster.com/terrapin-flyer-chicago-illinois-08-02-2026/event/040064B0ADE4BA2D,5,miss,false,false,fetch failed
